meet,rcDate,rcNo,rcDist,hrNo,hrNm,jkNm,trNm,wght,hrWght,age,sex,rcTime,s1f,g3f,ordBigo,trackCond,weather,ord,winOdds,plcOdds
2,20250626,8,2000,4,광풍,정성원,김동수,53.2,492.0,3,거,119.3,15.5,44.4,4-8-1,다습,흐림,5,0.0,0.0
2,20250626,8,2000,5,레드썬더,유현명,이재형,58.5,498.0,4,암,121.1,15.6,54.6,3-7-4,다습,흐림,6,0.0,0.0
2,20250626,8,2000,6,브레이브,김민기,이재형,54.5,501.0,5,거,120.6,12.3,51.8,2-2-3,다습,흐림,7,0.0,0.0
2,20250626,8,2000,7,코스모스,장석현,김영관,58.0,440.0,4,암,120.0,10.1,55.7,3-2-8,다습,흐림,4,0.0,0.0
2,20250626,8,2000,8,스피드킹,김태완,김영관,55.5,507.0,7,거,119.8,13.1,45.3,5-2-6,다습,흐림,2,0.0,6.7
2,20250626,8,2000,9,루비스타,박태종,김영관,54.5,471.0,4,수,117.9,14.1,48.4,2-2-3,다습,흐림,3,0.0,4.8
2,20250626,9,1700,1,에메랴르드,김민기,김영관,58.8,500.0,8,거,100.8,15.4,48.3,8-7-6,양호,비,5,0.0,0.0
2,20250626,9,1700,2,영웅호,한동훈,김동수,53.4,443.0,6,수,100.7,9.3,44.9,11-6-11,양호,비,6,0.0,0.0
2,20250626,9,1700,3,청룡,김태완,오창근,57.2,441.0,5,수,99.8,14.3,36.7,10-9-9,양호,비,1,6.8,4.7
2,20250626,9,1700,4,돌풍,박태종,김영관,56.2,478.0,7,암,102.4,15.5,46.8,2-10-1,양호,비,8,0.0,0.0
2,20250626,9,1700,5,천둥호,박태종,김동수,53.7,483.0,6,수,101.5,10.1,49.3,5-11-3,양호,비,7,0.0,0.0
2,20250626,9,1700,6,챔피언쉽,김민기,박재형,57.7,520.0,5,수,102.5,10.7,42.1,9-6-2,양호,비,12,0.0,0.0
2,20250626,9,1700,7,뉴레전드,이승헌,박재형,57.2,473.0,3,거,102.6,15.4,40.7,2-3-9,양호,비,9,0.0,0.0
2,20250626,9,1700,8,탑클래스,최보경,최두환,58.0,469.0,3,암,101.2,15.5,48.1,2-3-10,양호,비,4,0.0,0.0
2,20250626,9,1700,9,전설마,이찬호,최두환,57.6,459.0,5,거,100.0,10.4,48.1,2-12-9,양호,비,3,0.0,1.8
2,20250626,9,1700,10,빛나는별,송재광,최두환,58.1,484.0,7,암,100.2,12.8,37.3,1-5-7,양호,비,2,0.0,5.9
2,20250626,9,1700,11,하늘바람,유현명,김동수,53.9,444.0,3,수,101.9,8.9,50.7,2-8-1,양호,비,10,0.0,0.0
2,20250626,9,1700,12,명마왕,이승헌,김동수,54.8,449.0,4,수,102.4,12.8,44.6,2-6-3,양호,비,11,0.0,0.0
1,20250626,10,2000,1,루비스타,최보경,조순호,55.4,459.0,6,수,118.1,11.7,55.3,9-5-6,양호,흐림,1,19.9,2.9
1,20250626,10,2000,2,플라잉킹,김용근,오창근,58.8,473.0,7,수,119.8,12.2,46.5,7-5-8,양호,흐림,7,0.0,0.0
1,20250626,10,2000,3,돌풍,문세영,김영관,54.8,455.0,5,거,119.2,15.0,53.1,2-4-3,양호,흐림,5,0.0,0.0
1,20250626,10,2000,4,블루문,김민기,정길상,53.6,460.0,3,수,119.7,15.9,54.4,4-5-2,양호,흐림,6,0.0,0.0
1,20250626,10,2000,5,비상마,최보경,정길상,56.6,497.0,8,수,120.1,10.2,43.7,8-3-3,양호,흐림,8,0.0,0.0
1,20250626,10,2000,6,파워블레이드,김민기,김영관,58.1,466.0,6,암,118.9,13.1,51.7,8-4-3,양호,흐림,3,0.0,3.0
1,20250626,10,2000,7,에메랴르드,이찬호,오창근,54.5,510.0,8,암,118.4,11.8,51.6,7-1-5,양호,흐림,2,0.0,5.9
1,20250626,10,2000,8,태풍호,문세영,오창근,55.2,445.0,3,수,120.5,16.1,51.8,7-2-5,양호,흐림,9,0.0,0.0
1,20250626,10,2000,9,골드러시,김용근,박재형,54.0,474.0,3,수,120.1,13.8,55.5,8-6-5,양호,흐림,4,0.0,0.0
2,20250627,1,1800,1,드래곤킹,조성곤,김동수,55.7,495.0,5,암,107.6,15.5,46.2,7-1-2,양호,맑음,7,0.0,0.0
2,20250627,1,1800,2,골든파워,최보경,김영관,53.7,463.0,4,거,107.3,14.6,48.9,10-10-9,양호,맑음,6,0.0,0.0
2,20250627,1,1800,3,블루문,송재광,이재형,56.4,518.0,3,거,107.7,9.5,38.2,9-7-10,양호,맑음,8,0.0,0.0
2,20250627,1,1800,4,코스모스,김태완,정길상,55.4,455.0,8,암,106.7,11.0,51.0,5-10-4,양호,맑음,3,0.0,3.6
2,20250627,1,1800,5,신바람,한동훈,오창근,56.7,517.0,7,암,105.0,12.5,39.8,10-4-4,양호,맑음,1,9.4,2.8
2,20250627,1,1800,6,프라이드,김태완,정길상,58.0,469.0,4,암,107.6,12.9,46.3,9-1-2,양호,맑음,9,0.0,0.0
2,20250627,1,1800,7,에이스,유현명,최두환,58.3,459.0,3,거,108.9,11.2,44.8,2-2-11,양호,맑음,11,0.0,0.0
2,20250627,1,1800,8,행운마,정성원,정해성,57.0,458.0,4,암,108.0,10.5,39.6,1-10-7,양호,맑음,10,0.0,0.0
2,20250627,1,1800,9,돌풍,유현명,박재형,56.5,511.0,4,거,106.0,9.8,53.4,2-2-5,양호,맑음,5,0.0,0.0
2,20250627,1,1800,10,스타라이트,박태종,최두환,55.8,490.0,4,거,107.6,9.9,49.3,3-11-1,양호,맑음,4,0.0,0.0
2,20250627,1,1800,11,백마왕,송재광,정해성,57.7,457.0,6,거,105.3,15.6,39.4,10-4-10,양호,맑음,2,0.0,3.5
2,20250627,2,2400,1,빛나는별,이찬호,정길상,57.1,456.0,4,수,142.3,13.4,57.4,8-4-3,포슬,맑음,1,11.2,3.2
2,20250627,2,2400,2,결승타,문세영,김영관,57.1,498.0,5,암,142.9,18.0,70.2,7-3-2,포슬,맑음,3,0.0,3.4
2,20250627,2,2400,3,골든파워,장석현,이재형,55.3,441.0,5,암,143.7,11.8,53.9,2-2-3,포슬,맑음,6,0.0,0.0
2,20250627,2,2400,4,갤럭시,이찬호,김영관,53.1,449.0,4,거,143.4,18.8,55.2,6-8-3,포슬,맑음,4,0.0,0.0
2,20250627,2,2400,5,골드러시,장석현,최두환,55.7,485.0,6,암,143.6,15.6,64.6,5-6-5,포슬,맑음,5,0.0,0.0
2,20250627,2,2400,6,탑클래스,최보경,조순호,58.5,504.0,3,거,142.8,13.1,58.1,8-2-2,포슬,맑음,2,0.0,2.9
2,20250627,2,2400,7,퍼펙트,박태종,이재형,58.3,458.0,8,거,143.5,17.2,69.0,8-7-3,포슬,맑음,8,0.0,0.0
2,20250627,2,2400,8,뉴레전드,문세영,박배진,53.3,510.0,4,거,145.5,14.3,51.7,2-4-2,포슬,맑음,7,0.0,0.0
1,20250627,3,1300,1,챔피언쉽,김민기,박배진,52.6,501.0,6,암,78.5,6.9,30.6,1-1-1,양호,맑음,11,0.0,0.0
1,20250627,3,1300,2,드래곤킹,박태종,정길상,57.4,495.0,8,거,76.8,6.7,30.9,11-10-2,양호,맑음,8,0.0,0.0
1,20250627,3,1300,3,에이스,유현명,조순호,55.4,504.0,6,암,78.3,10.0,33.7,1-11-12,양호,맑음,12,0.0,0.0
1,20250627,3,1300,4,로얄킹,최보경,정길상,57.0,519.0,5,거,77.8,8.8,29.6,11-5-5,양호,맑음,10,0.0,0.0
1,20250627,3,1300,5,빛나는별,조성곤,이재형,52.6,505.0,7,암,76.0,9.8,33.7,8-9-2,양호,맑음,1,17.1,2.9
1,20250627,3,1300,6,번개호,김용근,이재형,57.8,463.0,7,암,77.0,10.5,31.1,1-9-7,양호,맑음,5,0.0,0.0
1,20250627,3,1300,7,태풍호,이승헌,정길상,52.3,444.0,8,암,78.3,7.9,30.0,11-6-2,양호,맑음,9,0.0,0.0
1,20250627,3,1300,8,스타라이트,김태완,박배진,53.9,452.0,6,수,76.0,8.9,30.6,5-9-4,양호,맑음,3,0.0,2.8
1,20250627,3,1300,9,전설마,김태완,김동수,56.6,469.0,4,수,77.0,9.9,32.7,9-12-1,양호,맑음,4,0.0,0.0
1,20250627,3,1300,10,광풍,한동훈,정해성,52.4,457.0,6,암,77.1,9.2,35.7,10-6-1,양호,맑음,7,0.0,0.0
1,20250627,3,1300,11,윈드러너,박태종,최두환,57.5,516.0,7,암,77.3,6.6,28.2,1-2-7,양호,맑음,6,0.0,0.0
1,20250627,3,1300,12,영웅호,조성곤,박배진,52.9,484.0,7,거,76.6,10.0,29.9,5-11-3,양호,맑음,2,0.0,7.2
1,20250627,4,1800,1,윈드러너,정성원,최두환,56.5,493.0,5,수,107.3,11.4,41.3,7-12-3,포슬,맑음,6,0.0,0.0
1,20250627,4,1800,2,천둥호,김태완,박배진,55.0,448.0,5,암,106.8,9.3,51.2,5-11-7,포슬,맑음,1,27.5,1.9
1,20250627,4,1800,3,골드러시,김용근,김동수,58.6,470.0,5,암,107.0,15.1,38.7,4-12-11,포슬,맑음,3,0.0,6.7
1,20250627,4,1800,4,블루문,김태완,김동수,55.8,455.0,4,수,108.0,16.6,52.6,11-2-8,포슬,맑음,10,0.0,0.0
1,20250627,4,1800,5,스타라이트,박찬호,박재형,54.9,462.0,5,거,106.8,13.0,54.1,9-1-4,포슬,맑음,2,0.0,1.3
1,20250627,4,1800,6,플라잉킹,김민기,김영관,54.6,484.0,7,암,107.8,12.9,50.8,6-12-3,포슬,맑음,7,0.0,0.0
1,20250627,4,1800,7,크리스탈,이승헌,최두환,57.8,445.0,8,거,109.1,11.7,43.0,1-5-4,포슬,맑음,12,0.0,0.0
1,20250627,4,1800,8,다이아몬드,이찬호,조순호,53.5,501.0,5,거,108.0,9.7,46.4,6-12-2,포슬,맑음,8,0.0,0.0
1,20250627,4,1800,9,에메랴르드,박찬호,조순호,57.6,504.0,3,거,106.7,9.8,48.2,8-12-2,포슬,맑음,5,0.0,0.0
1,20250627,4,1800,10,전설마,정성원,정길상,56.2,456.0,7,암,107.9,9.5,48.1,4-3-7,포슬,맑음,4,0.0,0.0
1,20250627,4,1800,11,실버윙,한동훈,김동수,59.0,443.0,6,수,108.7,15.6,49.2,10-9-8,포슬,맑음,11,0.0,0.0
1,20250627,4,1800,12,뉴레전드,박태종,김동수,58.9,448.0,7,거,107.7,14.9,51.3,9-1-1,포슬,맑음,9,0.0,0.0
3,20250627,5,1200,1,드래곤킹,김민기,박재형,57.8,488.0,8,거,71.1,10.6,35.9,11-4-7,양호,맑음,7,0.0,0.0
3,20250627,5,1200,2,최강마,김태완,최두환,57.5,451.0,3,수,71.8,5.7,31.3,9-11-10,양호,맑음,11,0.0,0.0
3,20250627,5,1200,3,태풍호,조성곤,김영관,55.8,458.0,6,수,71.8,8.3,29.6,10-3-7,양호,맑음,10,0.0,0.0
3,20250627,5,1200,4,파워블레이드,이찬호,이재형,57.7,453.0,4,수,70.2,8.9,31.3,4-8-5,양호,맑음,3,0.0,1.8
3,20250627,5,1200,5,블루문,김태완,김동수,54.9,447.0,3,암,71.0,9.1,35.9,3-9-9,양호,맑음,4,0.0,0.0
3,20250627,5,1200,6,로얄킹,박찬호,정길상,57.8,490.0,5,암,72.7,7.4,35.7,7-12-1,양호,맑음,12,0.0,0.0
3,20250627,5,1200,7,프라이드,정성원,김영관,52.8,450.0,3,수,71.6,10.7,35.5,9-4-6,양호,맑음,5,0.0,0.0
3,20250627,5,1200,8,매직타임,박찬호,오창근,58.2,447.0,3,수,71.5,8.0,31.8,6-12-4,양호,맑음,6,0.0,0.0
3,20250627,5,1200,9,하늘바람,유현명,이재형,57.4,460.0,5,거,71.6,8.1,34.7,9-3-7,양호,맑음,9,0.0,0.0
3,20250627,5,1200,10,빛나는별,최보경,김영관,55.4,508.0,6,수,71.1,9.4,33.3,10-4-9,양호,맑음,2,0.0,2.0
3,20250627,5,1200,11,신바람,장석현,박재형,54.0,517.0,3,수,69.2,7.5,34.9,9-8-4,양호,맑음,1,19.9,3.5
3,20250627,5,1200,12,레드썬더,김태완,박재형,53.7,509.0,7,암,71.7,9.7,31.0,1-4-4,양호,맑음,8,0.0,0.0
2,20250628,6,2000,1,자이언트,조성곤,최두환,57.7,472.0,7,거,118.5,15.4,54.0,7-10-10,포슬,맑음,1,8.4,4.2
2,20250628,6,2000,2,돌풍,박태종,오창근,58.1,493.0,7,거,119.8,15.5,55.6,12-11-11,포슬,맑음,5,0.0,0.0
2,20250628,6,2000,3,뉴스타,박태종,정해성,52.6,482.0,4,암,120.1,13.9,48.8,11-10-4,포슬,맑음,11,0.0,0.0
2,20250628,6,2000,4,결승타,김용근,김동수,56.0,464.0,7,수,119.2,17.2,53.2,3-4-2,포슬,맑음,2,0.0,3.2
2,20250628,6,2000,5,명마왕,김용근,조순호,54.1,451.0,6,수,121.0,13.5,52.2,7-10-12,포슬,맑음,12,0.0,0.0
2,20250628,6,2000,6,윈드러너,문세영,박배진,55.3,472.0,3,수,119.7,13.6,50.6,11-8-3,포슬,맑음,4,0.0,0.0
2,20250628,6,2000,7,실버윙,김민기,조순호,54.2,515.0,8,암,120.0,12.3,53.6,11-11-10,포슬,맑음,10,0.0,0.0
2,20250628,6,2000,8,플라잉킹,송재광,김동수,56.6,512.0,7,수,120.7,10.9,58.9,5-1-6,포슬,맑음,3,0.0,4.6
2,20250628,6,2000,9,사파이어,박찬호,김영관,58.9,512.0,7,거,120.5,14.8,48.7,3-7-10,포슬,맑음,7,0.0,0.0
2,20250628,6,2000,10,퍼펙트,박태종,김동수,55.8,452.0,8,암,119.2,11.4,56.4,10-7-6,포슬,맑음,9,0.0,0.0
2,20250628,6,2000,11,골든파워,박찬호,김영관,58.5,457.0,7,거,119.0,13.9,49.7,11-3-4,포슬,맑음,6,0.0,0.0
2,20250628,6,2000,12,광풍,박태종,박배진,54.2,467.0,3,암,120.3,12.1,45.1,7-9-3,포슬,맑음,8,0.0,0.0
3,20250628,7,1000,1,하늘바람,박찬호,오창근,52.4,444.0,6,거,59.0,7.4,23.0,4-6-1,다습,비,7,0.0,0.0
3,20250628,7,1000,2,에메랴르드,문세영,김영관,54.6,444.0,8,거,57.6,6.0,24.6,2-6-1,다습,비,3,0.0,3.5
3,20250628,7,1000,3,에이스,이승헌,오창근,57.4,509.0,7,암,60.6,6.0,26.3,7-3-1,다습,비,9,0.0,0.0
3,20250628,7,1000,4,파워블레이드,김민기,김동수,53.5,462.0,3,거,59.3,8.7,25.7,5-7-3,다습,비,1,5.3,3.0
3,20250628,7,1000,5,사파이어,문세영,정해성,58.2,498.0,6,암,60.4,7.9,26.5,1-9-2,다습,비,6,0.0,0.0
3,20250628,7,1000,6,갤럭시,김민기,정해성,57.1,506.0,6,거,59.4,8.5,30.7,2-5-1,다습,비,5,0.0,0.0
3,20250628,7,1000,7,돌풍,박찬호,박배진,56.7,461.0,4,수,59.2,5.2,25.4,3-6-6,다습,비,4,0.0,0.0
3,20250628,7,1000,8,영웅호,김민기,이재형,53.4,513.0,6,수,57.6,4.9,25.7,8-1-4,다습,비,2,0.0,5.1
3,20250628,7,1000,9,최강마,장석현,이재형,56.7,446.0,4,암,59.9,4.9,22.8,4-9-6,다습,비,8,0.0,0.0
1,20250628,8,1400,1,무적호,조성곤,박배진,52.3,505.0,6,수,81.4,8.3,42.2,8-4-11,양호,맑음,3,0.0,6.9
1,20250628,8,1400,2,실버윙,조성곤,김영관,54.8,483.0,4,암,83.5,12.2,39.5,11-9-3,양호,맑음,7,0.0,0.0
1,20250628,8,1400,3,브레이브,송재광,이재형,52.5,507.0,8,거,84.2,7.1,36.0,9-3-2,양호,맑음,9,0.0,0.0
1,20250628,8,1400,4,레드썬더,한동훈,조순호,53.8,514.0,6,거,83.5,7.8,36.8,8-12-11,양호,맑음,10,0.0,0.0
1,20250628,8,1400,5,명마왕,최보경,정해성,53.6,474.0,4,수,84.5,12.1,36.0,9-3-9,양호,맑음,12,0.0,0.0
1,20250628,8,1400,6,자이언트,한동훈,김동수,54.9,467.0,7,수,81.5,11.6,43.1,8-12-10,양호,맑음,2,0.0,2.7
1,20250628,8,1400,7,뉴레전드,정성원,오창근,54.8,514.0,3,암,82.6,9.3,39.1,8-4-7,양호,맑음,6,0.0,0.0
1,20250628,8,1400,8,다이아몬드,정성원,이재형,58.0,441.0,3,거,83.0,8.8,31.4,3-3-4,양호,맑음,8,0.0,0.0
1,20250628,8,1400,9,썬더볼트,한동훈,김동수,54.3,453.0,6,수,81.7,10.6,38.4,6-9-8,양호,맑음,1,28.6,3.8
1,20250628,8,1400,10,로얄킹,송재광,김영관,56.8,472.0,4,수,84.1,11.2,36.0,2-10-3,양호,맑음,11,0.0,0.0
1,20250628,8,1400,11,스타라이트,김태완,최두환,54.8,477.0,7,거,83.1,12.2,37.4,11-5-4,양호,맑음,4,0.0,0.0
1,20250628,8,1400,12,천둥호,박찬호,최두환,56.3,463.0,7,수,82.8,11.5,42.0,1-6-1,양호,맑음,5,0.0,0.0
2,20250628,9,1600,1,브레이브,유현명,박재형,54.4,490.0,7,수,95.5,10.9,45.3,8-2-6,양호,맑음,9,0.0,0.0
2,20250628,9,1600,2,최강마,송재광,이재형,53.6,484.0,6,거,96.3,10.2,36.8,3-1-8,양호,맑음,7,0.0,0.0
2,20250628,9,1600,3,매직타임,조성곤,오창근,57.5,517.0,3,암,95.5,12.6,43.6,8-9-8,양호,맑음,6,0.0,0.0
2,20250628,9,1600,4,전설마,박찬호,박배진,53.0,490.0,6,수,94.8,11.1,44.4,3-6-9,양호,맑음,3,0.0,5.8
2,20250628,9,1600,5,돌풍,최보경,조순호,55.5,500.0,8,수,94.6,11.4,44.8,7-3-4,양호,맑음,4,0.0,0.0
2,20250628,9,1600,6,행운마,김태완,정길상,56.9,511.0,8,암,96.2,13.6,39.5,7-6-8,양호,맑음,8,0.0,0.0
2,20250628,9,1600,7,빛나는별,최보경,정길상,52.2,450.0,5,거,93.6,13.6,36.5,6-6-5,양호,맑음,1,11.2,1.7
2,20250628,9,1600,8,윈드러너,조성곤,이재형,58.5,471.0,7,거,94.4,10.7,35.4,5-3-4,양호,맑음,5,0.0,0.0
2,20250628,9,1600,9,코스모스,한동훈,이재형,56.8,499.0,5,수,94.9,12.9,46.6,4-9-2,양호,맑음,2,0.0,1.6
2,20250628,10,1300,1,퍼펙트,정성원,최두환,57.5,470.0,4,수,77.4,11.2,38.2,9-7-6,양호,맑음,9,0.0,0.0
2,20250628,10,1300,2,매직타임,김태완,정길상,58.7,479.0,5,거,76.9,11.2,39.0,6-1-10,양호,맑음,6,0.0,0.0
2,20250628,10,1300,3,프라이드,김태완,정해성,57.4,463.0,5,거,77.7,7.2,30.7,10-2-11,양호,맑음,8,0.0,0.0
2,20250628,10,1300,4,뉴레전드,송재광,박배진,57.8,446.0,3,수,78.1,11.3,33.8,1-4-9,양호,맑음,7,0.0,0.0
2,20250628,10,1300,5,결승타,장석현,김동수,56.1,462.0,3,암,77.6,6.6,32.1,5-2-6,양호,맑음,3,0.0,7.9
2,20250628,10,1300,6,사파이어,조성곤,정해성,52.8,506.0,4,암,76.5,7.3,36.7,10-4-7,양호,맑음,5,0.0,0.0
2,20250628,10,1300,7,천둥호,이승헌,박배진,52.7,504.0,6,거,76.8,11.3,26.8,5-3-11,양호,맑음,2,0.0,4.6
2,20250628,10,1300,8,명마왕,박태종,김영관,54.0,502.0,3,암,78.5,6.4,31.6,7-10-9,양호,맑음,11,0.0,0.0
2,20250628,10,1300,9,에이스,유현명,최두환,55.7,485.0,7,암,79.3,10.0,30.3,1-5-6,양호,맑음,10,0.0,0.0
2,20250628,10,1300,10,코스모스,김용근,조순호,57.9,482.0,5,암,77.1,9.0,37.9,9-7-7,양호,맑음,4,0.0,0.0
2,20250628,10,1300,11,에메랴르드,문세영,김동수,58.0,487.0,6,암,76.7,10.5,33.4,5-5-3,양호,맑음,1,5.4,3.9
3,20250629,1,1600,1,영웅호,유현명,오창근,58.9,442.0,3,암,94.2,13.4,34.1,6-11-4,양호,맑음,4,0.0,0.0
3,20250629,1,1600,2,뉴스타,최보경,조순호,52.5,459.0,8,수,96.6,13.4,46.7,6-6-2,양호,맑음,10,0.0,0.0
3,20250629,1,1600,3,썬더볼트,이찬호,정길상,54.3,478.0,7,거,94.7,9.1,43.1,12-3-11,양호,맑음,1,28.9,3.6
3,20250629,1,1600,4,다이아몬드,유현명,박재형,54.1,508.0,7,거,95.8,11.8,38.8,12-8-3,양호,맑음,8,0.0,0.0
3,20250629,1,1600,5,전설마,이승헌,조순호,55.0,512.0,6,암,94.7,12.5,38.3,3-12-1,양호,맑음,3,0.0,4.3
3,20250629,1,1600,6,실버윙,김용근,김동수,57.9,519.0,8,수,96.4,8.1,39.2,2-9-4,양호,맑음,11,0.0,0.0
3,20250629,1,1600,7,퍼펙트,박태종,이재형,57.0,505.0,3,수,95.9,12.8,36.3,3-4-10,양호,맑음,9,0.0,0.0
3,20250629,1,1600,8,돌풍,김용근,정길상,56.4,490.0,3,수,95.7,10.0,34.7,9-4-7,양호,맑음,6,0.0,0.0
3,20250629,1,1600,9,드래곤킹,조성곤,정해성,53.1,497.0,6,암,95.6,10.2,42.0,7-9-12,양호,맑음,7,0.0,0.0
3,20250629,1,1600,10,브레이브,유현명,정해성,53.2,454.0,5,거,96.1,11.3,38.3,6-9-11,양호,맑음,12,0.0,0.0
3,20250629,1,1600,11,사파이어,조성곤,정해성,52.9,452.0,7,거,93.9,14.2,38.5,2-9-11,양호,맑음,5,0.0,0.0
3,20250629,1,1600,12,백마왕,김민기,정해성,54.7,493.0,4,거,94.3,12.3,39.1,3-12-8,양호,맑음,2,0.0,2.3
1,20250629,2,1400,1,결승타,최보경,최두환,58.4,457.0,6,거,82.8,12.3,41.8,7-6-2,양호,흐림,3,0.0,6.6
1,20250629,2,1400,2,코스모스,한동훈,박재형,53.7,484.0,4,암,83.4,12.2,33.9,4-9-4,양호,흐림,5,0.0,0.0
1,20250629,2,1400,3,명마왕,김태완,박배진,58.6,461.0,3,거,84.7,9.8,37.7,8-4-3,양호,흐림,9,0.0,0.0
1,20250629,2,1400,4,퍼펙트,박태종,오창근,54.0,515.0,7,거,83.5,8.4,40.5,8-2-3,양호,흐림,8,0.0,0.0
1,20250629,2,1400,5,골든파워,송재광,정해성,56.2,508.0,7,수,82.9,9.3,31.5,8-2-3,양호,흐림,4,0.0,0.0
1,20250629,2,1400,6,썬더볼트,문세영,김동수,53.7,512.0,6,거,82.3,11.4,41.7,2-4-8,양호,흐림,1,8.2,3.2
1,20250629,2,1400,7,사파이어,김민기,김동수,53.0,516.0,7,거,83.7,8.0,31.1,2-3-6,양호,흐림,7,0.0,0.0
1,20250629,2,1400,8,플라잉킹,박찬호,정길상,55.8,454.0,3,거,84.0,8.3,36.6,8-9-9,양호,흐림,6,0.0,0.0
1,20250629,2,1400,9,스타라이트,정성원,최두환,55.1,495.0,8,암,82.8,11.3,38.1,9-6-3,양호,흐림,2,0.0,7.5
1,20250629,3,1400,1,프라이드,김태완,이재형,58.7,510.0,7,수,83.1,11.8,40.6,3-3-6,양호,눈,8,0.0,0.0
1,20250629,3,1400,2,코스모스,한동훈,정길상,52.6,456.0,5,수,83.4,10.2,39.5,1-4-1,양호,눈,3,0.0,6.8
1,20250629,3,1400,3,번개호,최보경,오창근,58.9,447.0,8,수,83.7,10.6,30.5,3-7-1,양호,눈,6,0.0,0.0
1,20250629,3,1400,4,결승타,한동훈,이재형,57.1,449.0,4,거,83.6,7.5,38.3,8-7-8,양호,눈,4,0.0,0.0
1,20250629,3,1400,5,사파이어,박태종,이재형,52.4,488.0,8,암,83.9,11.0,31.7,7-2-3,양호,눈,9,0.0,0.0
1,20250629,3,1400,6,썬더볼트,송재광,이재형,52.3,489.0,3,거,81.5,9.3,39.4,9-8-4,양호,눈,1,18.5,2.6
1,20250629,3,1400,7,백마왕,이찬호,최두환,57.2,457.0,5,암,82.9,10.2,35.0,4-9-1,양호,눈,2,0.0,1.2
1,20250629,3,1400,8,독수리,한동훈,이재형,55.2,510.0,5,암,83.6,11.0,30.8,3-2-2,양호,눈,7,0.0,0.0
1,20250629,3,1400,9,윈드러너,조성곤,정길상,57.5,495.0,8,수,82.3,9.9,42.1,6-3-3,양호,눈,5,0.0,0.0
1,20250629,4,1700,1,윈드러너,박태종,최두환,55.5,441.0,3,수,101.7,9.8,43.0,5-4-7,불량,맑음,8,0.0,0.0
1,20250629,4,1700,2,루비스타,송재광,김동수,55.8,483.0,6,수,100.0,10.3,50.4,1-5-2,불량,맑음,1,4.6,3.4
1,20250629,4,1700,3,에메랴르드,송재광,이재형,52.2,519.0,3,수,100.5,11.3,41.6,8-4-9,불량,맑음,2,0.0,7.1
1,20250629,4,1700,4,코스모스,이승헌,박재형,52.4,488.0,3,수,101.7,11.5,47.0,7-7-10,불량,맑음,5,0.0,0.0
1,20250629,4,1700,5,파워블레이드,문세영,오창근,53.6,450.0,5,수,100.1,11.9,52.1,6-6-5,불량,맑음,3,0.0,1.8
1,20250629,4,1700,6,챔피언쉽,장석현,이재형,57.8,495.0,8,암,102.9,8.5,45.9,1-4-1,불량,맑음,11,0.0,0.0
1,20250629,4,1700,7,갤럭시,유현명,정길상,56.3,513.0,6,거,100.5,14.7,43.8,8-6-7,불량,맑음,6,0.0,0.0
1,20250629,4,1700,8,결승타,송재광,박재형,56.4,470.0,7,암,101.3,13.5,51.2,5-7-3,불량,맑음,4,0.0,0.0
1,20250629,4,1700,9,최강마,이찬호,박재형,55.4,449.0,5,수,100.9,12.1,36.0,9-1-2,불량,맑음,10,0.0,0.0
1,20250629,4,1700,10,파이널킹,박태종,박배진,52.9,457.0,8,수,101.3,13.8,44.5,8-7-5,불량,맑음,7,0.0,0.0
1,20250629,4,1700,11,드래곤킹,박태종,김영관,55.4,474.0,3,거,102.2,12.6,44.0,11-6-8,불량,맑음,9,0.0,0.0
2,20250629,5,1000,1,비상마,유현명,정길상,57.7,463.0,7,수,59.7,8.9,26.1,7-3-2,양호,맑음,7,0.0,0.0
2,20250629,5,1000,2,광풍,김민기,조순호,52.2,485.0,4,거,58.9,5.9,28.8,6-8-7,양호,맑음,4,0.0,0.0
2,20250629,5,1000,3,청룡,김민기,오창근,56.2,480.0,4,수,56.9,5.7,21.2,4-7-3,양호,맑음,1,23.8,3.2
2,20250629,5,1000,4,블루문,장석현,정해성,58.5,507.0,6,암,59.4,6.9,21.6,2-4-3,양호,맑음,6,0.0,0.0
2,20250629,5,1000,5,자이언트,김민기,정해성,52.1,445.0,5,암,58.1,6.4,24.6,6-1-2,양호,맑음,2,0.0,4.5
2,20250629,5,1000,6,독수리,박태종,김영관,52.4,487.0,8,수,58.3,6.4,30.0,1-5-4,양호,맑음,5,0.0,0.0
2,20250629,5,1000,7,에이스,정성원,박배진,52.5,497.0,8,암,60.1,8.2,26.8,1-6-4,양호,맑음,8,0.0,0.0
2,20250629,5,1000,8,매직타임,한동훈,김영관,54.2,454.0,5,거,59.1,7.8,25.7,5-8-7,양호,맑음,3,0.0,2.6
1,20250630,6,1400,1,비상마,유현명,이재형,53.5,463.0,3,수,83.8,9.7,37.2,4-3-6,양호,맑음,5,0.0,0.0
1,20250630,6,1400,2,프라이드,박찬호,이재형,53.5,495.0,7,거,83.3,10.9,37.5,2-8-1,양호,맑음,3,0.0,5.0
1,20250630,6,1400,3,최강마,유현명,박재형,53.2,474.0,8,수,84.0,8.1,32.7,8-3-2,양호,맑음,7,0.0,0.0
1,20250630,6,1400,4,행운마,유현명,오창근,52.4,453.0,8,거,84.0,10.5,38.4,5-2-2,양호,맑음,6,0.0,0.0
1,20250630,6,1400,5,실버윙,이찬호,김동수,56.8,500.0,7,거,84.4,10.0,35.7,8-3-2,양호,맑음,4,0.0,0.0
